"poll.id","Title","Result","Ausschuss1","Ausschuss2","Ausschuss3","Label1","Label2","Label3"
4293,"Änderung des Infektionsschutzgesetzes und Grundrechtseinschränkungen",TRUE,"Haushaltsausschuss","Ausschuss für Gesundheit",NA,"Gesundheit","Recht",NA
4283,"Einsatz deutscher Streitkräfte zur militärischen Evakuierung aus Afghanistan",TRUE,"Auswärtiger Ausschuss",NA,NA,"Außenpolitik und internationale Beziehungen","Verteidigung",NA
4284,"Fortbestand der epidemischen Lage von nationaler Tragweite",TRUE,"Ausschuss für Gesundheit",NA,NA,"Gesundheit","Recht",NA
4215,"Keine Verwendung von geschlechtergerechter Sprache",FALSE,NA,NA,NA,"Gesellschaftspolitik, soziale Gruppen","Staat und Verwaltung",NA
4217,"Änderung im Infektions­schutz­gesetz",TRUE,"Ausschuss für Recht und Verbraucherschutz",NA,NA,"Gesellschaftspolitik, soziale Gruppen","Gesundheit","Recht"
4212,"Verlängerung des Bundeswehreinsatzes im Kosovo (KFOR 2021/2022)",TRUE,"Auswärtiger Ausschuss",NA,NA,"Außenpolitik und internationale Beziehungen","Verteidigung",NA
4214,"Verlängerung des Bundeswehreinsatzes vor der libanesischen Küste (UNIFIL 2021/2022)",TRUE,"Auswärtiger Ausschuss",NA,NA,"Außenpolitik und internationale Beziehungen","Verteidigung",NA
4213,"Änderungen des Bundes­naturschutzgesetzes",TRUE,"Ausschuss für Umwelt, Naturschutz und nukleare Sicherheit",NA,NA,"Landwirtschaft und Ernährung","Staat und Verwaltung","Wissenschaft, Forschung und Technologie"
4209,"Änderung des Klimaschutzgesetzes",TRUE,"Ausschuss für Umwelt, Naturschutz und nukleare Sicherheit",NA,NA,"Bundestag","Umwelt",NA
4201,"Epidemische Lage von nationaler Tragweite bleibt weiter bestehen",TRUE,NA,NA,NA,"Gesundheit","Innere Sicherheit",NA
4198,"Änderung des Atomgesetzes",TRUE,"Ausschuss für Umwelt, Naturschutz und nukleare Sicherheit","Haushaltsausschuss",NA,"Energie","Umwelt","Wissenschaft, Forschung und Technologie"
4199,"Unternehmerische Sorgfaltspflichten in Lieferketten",TRUE,NA,NA,NA,"Arbeit und Beschäftigung","Landwirtschaft und Ernährung","Wissenschaft, Forschung und Technologie"
4193,"Auf­hebung des Vermögen­steuergesetzes",FALSE,"Finanzausschuss",NA,NA,"Öffentliche Finanzen, Steuern und Abgaben","Bundestag","Recht"
4197,"Mehr Rechte für den Verfassungsschutz",TRUE,"Ausschuss für Inneres und Heimat",NA,NA,"Innere Sicherheit","Recht","Staat und Verwaltung"
4146,"Aufhebung des Transsexuellengesetzes und Einführung des Selbstbestimmungsgesetzes",FALSE,NA,NA,NA,"Gesellschaftspolitik, soziale Gruppen","Gesundheit",NA
4142,"Verlängerung des Bundeswehreinsatzes in Mali (EUTM Mali 2021/2022)",TRUE,"Auswärtiger Ausschuss",NA,NA,"Außenpolitik und internationale Beziehungen","Europapolitik und Europäische Union","Gesellschaftspolitik, soziale Gruppen"
4140,"Verlängerung des Bundeswehreinsatzes in Mali (MINUSMA 2021/2022)",TRUE,"Auswärtiger Ausschuss",NA,NA,"Außenpolitik und internationale Beziehungen","Verteidigung",NA
4126,"Mobilisierung von Bauland",FALSE,"Ausschuss für Bau, Wohnen, Stadtentwicklung und Kommunen",NA,NA,"Gesellschaftspolitik, soziale Gruppen","Raumordnung, Bau- und Wohnungswesen",NA
