"id","label.x","abgeordnetenwatch_url","first_name","last_name","sex","year_of_birth","party.id","party.label","education","residence","occupation","statistic_questions","statistic_questions_answered","birth_name","field_title","party_past","id.mandat","parliament_period_label","politician_abgeordnetenwatch_url","start_date","end_date","info","electoral_data_id","electoral_data_electoral_list.id","electoral_data_electoral_list.label","electoral_data_list_position","electoral_data_constituency.id","electoral_data_constituency.label","electoral_data_constituency_result","electoral_data_constituency_result_count","electoral_data_mandate_won","latitude","longitude"
136239,"Ottmar von Holtz","https://www.abgeordnetenwatch.de/profile/ottmar-von-holtz","Ottmar","von Holtz","m","1961","5","Bündnis 90/Die Grünen","Diplom-Ökonom","Hildesheim","Mitglied des Deutschen Bundestages","2","2",NA,NA,NA,60624,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/ottmar-von-holtz","2024-01-10",NA,"Ottmar von Holtz ist am 10.01.2024 für Jürgen Trittin in den Bundestag nachgerückt.",61548,418,"Landesliste Niedersachsen (Bundestag 2021 - 2025)",14,10788,"48 - Hildesheim (Bundestag 2021 - 2025)",14.4,NA,"moved_up",52.1521636,9.9513046
79254,"Stefan Kaufmann","https://www.abgeordnetenwatch.de/profile/stefan-kaufmann","Stefan","Kaufmann","m","1969","2","CDU","Rechtsanwalt",NA,"MdB","2",NA,NA,NA,NA,60622,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/stefan-kaufmann","2024-01-04",NA,"Stefan Kaufmann ist am 04.01.2024 für Wolfgang Schäuble in den Bundestag nachgerückt.",61546,410,"Landesliste Baden-Württemberg (Bundestag 2021 - 2025)",7,10998,"258 - Stuttgart I (Bundestag 2021 - 2025)",23.4,NA,"moved_up",NA,NA
79095,"Ingrid Pahlmann","https://www.abgeordnetenwatch.de/profile/ingrid-pahlmann","Ingrid","Pahlmann","f","1957","2","CDU","Staatlich geprüfte ländliche Hauswirtschaftsleiterin","Gifhorn","MdB","1","1",NA,NA,NA,60617,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/ingrid-pahlmann","2024-01-02",NA,"Ingrid Pahlmann ist am 02.01.2024 für André Berghegger in den Bundestag nachgerückt.",61541,NA,NA,NA,10785,"45 - Gifhorn - Peine (Bundestag 2021 - 2025)",24.4,NA,"moved_up",52.57806125,10.6613448014154
170200,"Tim Wagner","https://www.abgeordnetenwatch.de/profile/tim-wagner","Tim","Wagner","m","1981","4","FDP",NA,NA,"Vermögensberater","2",NA,NA,NA,NA,60616,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/tim-wagner","2024-01-01",NA,"Tim Wagner ist am 01.01.2024 für Reginald Hanke in den Bundestag nachgerückt.",61540,NA,NA,NA,10931,"191 - Jena – Sömmerda – Weimarer Land I (Bundestag 2021 - 2025)",7,NA,"moved_up",NA,NA
118231,"Christian Bartelt","https://www.abgeordnetenwatch.de/profile/christian-bartelt","Christian","Bartelt","m","1976","4","FDP","Studium Zahnmedizin","Spantekow","selbstständiger Zahnarzt","2",NA,NA,NA,NA,60178,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/christian-bartelt","2023-09-04",NA,"Nachgerückt für Hagen Reinhold am 04.09.2023.",61102,NA,NA,NA,10756,"16 - Mecklenburgische Seenplatte I - Vorpommern-Greifswald II (Bundestag 2021 - 2025)",NA,NA,"moved_up",53.7833308,13.5255823
146323,"Katharina Willkomm","https://www.abgeordnetenwatch.de/profile/katharina-willkomm","Katharina","Willkomm","f","1987","4","FDP","Juristin",NA,"MdB","5","5",NA,NA,NA,60126,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/katharina-willkomm","2023-08-07",NA,"Katharina Willkomm ist am 07.08.2023 für Alexander Graf Lambsdorff in den Deutschen Bundestag nachgerückt.",61050,NA,NA,NA,10827,"87 - Aachen I (Bundestag 2021 - 2025)",7.9,NA,"moved_up",NA,NA
175392,"Ana-Maria Trăsnea","https://www.abgeordnetenwatch.de/profile/ana-maria-trasnea","Ana-Maria","Trăsnea","f","1994","1","SPD","Kulturwissenschaftlerin","Berlin","öffentlicher Dienst","2","1",NA,NA,NA,58511,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/ana-maria-trasnea","2023-05-16","2024-03-04","Nachgerückt am 16.05.2023.
Ana-Maria Trăsnea hat ihr Mandat aufgrund der Wiederholungswahl am 11.02.2024 in Berlin verloren.",59435,412,"Landesliste Berlin (Bundestag 2021 - 2025)",NA,10824,"84 - Berlin-Treptow-Köpenick (Bundestag 2021 - 2025)",NA,NA,"moved_up",52.5108638,13.3989421
175827,"Alexander Föhr","https://www.abgeordnetenwatch.de/profile/alexander-foehr","Alexander","Föhr","m","1980","2","CDU","Studium Politikwissenschaft, Öffentliches Recht und Geschichte","Heidelberg","MdB, vorher leitender Angestellter, Stadtrat in Heidelberg","5","4",NA,NA,NA,58167,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/alexander-foehr","2023-03-01",NA,NA,59091,410,"Landesliste Baden-Württemberg (Bundestag 2021 - 2025)",6,11014,"274 - Heidelberg (Bundestag 2021 - 2025)",24.1,NA,"moved_up",49.4093582,8.694724
165158,"Rainer Rothfuß","https://www.abgeordnetenwatch.de/profile/rainer-rothfuss","Rainer","Rothfuß","m","1971","9","AfD","Diplom-Geograph","Lindau (Bodensee)","Geopolitik-Analyst und Berater","1","1",NA,"Dr.",NA,58166,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/rainer-rothfuss","2023-03-02",NA,NA,59090,411,"Landesliste Bayern (Bundestag 2021 - 2025)",13,10996,"256 - Oberallgäu (Bundestag 2021 - 2025)",8,NA,"moved_up",47.550753,9.6926624
145860,"Melanie Bernstein","https://www.abgeordnetenwatch.de/profile/melanie-bernstein","Melanie","Bernstein","f","1976","2","CDU","Kulturwissenschaftlerin",NA,"MdB","7","7",NA,NA,NA,58127,"Bundestag 2021 - 2025","https://www.abgeordnetenwatch.de/profile/melanie-bernstein","2023-02-06",NA,NA,59051,424,"Landesliste Schleswig-Holstein (Bundestag 2021 - 2025)",NA,10746,"6 - Plön - Neumünster (Bundestag 2021 - 2025)",27.9,NA,"moved_up",NA,NA
