"id","label.x","abgeordnetenwatch_url","first_name","last_name","sex","year_of_birth","party.id","party.label","education","occupation","statistic_questions","statistic_questions_answered","residence","field_title","party_past","birth_name","id.mandat","parliament_period_label","politician_abgeordnetenwatch_url","start_date","end_date","info","electoral_data_id","electoral_data_electoral_list.id","electoral_data_electoral_list.label","electoral_data_list_position","electoral_data_constituency.id","electoral_data_constituency.label","electoral_data_constituency_result","electoral_data_constituency_result_count","electoral_data_mandate_won","latitude","longitude"
118667,"Hartmut Ebbing","https://www.abgeordnetenwatch.de/profile/hartmut-ebbing","Hartmut","Ebbing","m",1956,4,"FDP","Bankkaufmann / Wirtschaftsprüfer / Steuerberater","MdB, selbstständiger Wirtschaftsberater und Steuerprüfer",25,20,NA,NA,NA,NA,40754,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/hartmut-ebbing",NA,NA,NA,40754,108,"Landesliste Berlin (Bundestag 2017 - 2021)",3,4203,"79 - Berlin-Steglitz-Zehlendorf (Bundestag 2017 - 2021)",9.1,NA,"list",52.42958935,13.2420202408297
118538,"Frank Schäffler","https://www.abgeordnetenwatch.de/profile/frank-schaeffler","Frank","Schäffler","m",1968,4,"FDP","Industriekaufmann","MdB",41,26,NA,NA,NA,NA,40700,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/frank-schaeffler",NA,NA,NA,40700,115,"Landesliste Nordrhein-Westfalen (Bundestag 2017 - 2021)",10,4258,"134 - Minden-Lübbecke I (Bundestag 2017 - 2021)",7.1,NA,"list",52.35597445,8.76365085906113
118384,"Hermann Otto Solms","https://www.abgeordnetenwatch.de/profile/hermann-otto-solms","Hermann Otto","Solms","m",1940,4,"FDP","Diplomökonom","MdB",11,NA,NA,NA,NA,NA,40635,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/hermann-otto-solms",NA,NA,NA,40635,112,"Landesliste Hessen (Bundestag 2017 - 2021)",3,4297,"173 - Gießen (Bundestag 2017 - 2021)",7.7,NA,"list",50.5862066,8.6742306
118359,"Florian Toncar","https://www.abgeordnetenwatch.de/profile/florian-toncar","Florian","Toncar","m",1979,4,"FDP","Rechtsanwalt","MdB",74,58,"Böblingen",NA,NA,NA,40621,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/florian-toncar",NA,NA,NA,40621,106,"Landesliste Baden-Württemberg (Bundestag 2017 - 2021)",5,4384,"260 - Böblingen (Bundestag 2017 - 2021)",12.8,NA,"list",48.684969,9.0113444
118250,"Christine Aschenberg-Dugnus","https://www.abgeordnetenwatch.de/profile/christine-aschenberg-dugnus","Christine","Aschenberg-Dugnus","f",1959,4,"FDP",NA,"MdB, Rechtsanwältin",29,3,NA,NA,NA,NA,40573,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/christine-aschenberg-dugnus",NA,NA,NA,40573,120,"Landesliste Schleswig-Holstein (Bundestag 2017 - 2021)",3,4128,"4 - Rendsburg-Eckernförde (Bundestag 2017 - 2021)",6.5,NA,"list",54.3015523,9.7686088
118195,"Bijan Djir-Sarai","https://www.abgeordnetenwatch.de/profile/bijan-djir-sarai","Bijan","Djir-Sarai","m",1976,4,"FDP","Diplom-Kaufmann","MdB",62,57,NA,NA,NA,NA,40553,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/bijan-djir-sarai",NA,NA,NA,40553,115,"Landesliste Nordrhein-Westfalen (Bundestag 2017 - 2021)",6,4232,"108 - Neuss I (Bundestag 2017 - 2021)",7.2,NA,"list",51.1256865,6.71711070674408
117904,"Pascal Meiser","https://www.abgeordnetenwatch.de/profile/pascal-meiser","Pascal","Meiser","m",1975,8,"DIE LINKE","Diplom-Politikwissenschaftler","Mitglied des Deutschen Bundestages",18,15,"Berlin",NA,NA,NA,40509,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/pascal-meiser",NA,NA,NA,40509,108,"Landesliste Berlin (Bundestag 2017 - 2021)",4,4207,"83 - Berlin-Friedrichshain-Kreuzberg - Prenzlauer Berg Ost (Bundestag 2017 - 2021)",24.9,NA,"list",52.5170365,13.3888599
117547,"Stefan Gelbhaar","https://www.abgeordnetenwatch.de/profile/stefan-gelbhaar","Stefan","Gelbhaar","m",1976,5,"Bündnis 90/Die Grünen","Jurist","MdB",46,37,NA,NA,NA,NA,40479,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/stefan-gelbhaar",NA,NA,NA,40479,108,"Landesliste Berlin (Bundestag 2017 - 2021)",2,4200,"76 - Berlin-Pankow (Bundestag 2017 - 2021)",14.2,NA,"list",52.5979174,13.435316
117431,"Canan Bayram","https://www.abgeordnetenwatch.de/profile/canan-bayram","Canan","Bayram","f",1966,5,"Bündnis 90/Die Grünen","Juristin","MdB, selbstständige Rechtsanwältin",55,49,NA,NA,NA,NA,40338,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/canan-bayram",NA,NA,NA,40338,NA,NA,1,4207,"83 - Berlin-Friedrichshain-Kreuzberg - Prenzlauer Berg Ost (Bundestag 2017 - 2021)",26.3,NA,"constituency",NA,NA
109946,"Brigitte Freihold","https://www.abgeordnetenwatch.de/profile/brigitte-freihold","Brigitte","Freihold","f",1955,8,"DIE LINKE","Lehrerin","MdB",7,7,NA,NA,NA,NA,40204,"Bundestag 2017 - 2021","https://www.abgeordnetenwatch.de/profile/brigitte-freihold",NA,NA,NA,40204,116,"Landesliste Rheinland-Pfalz (Bundestag 2017 - 2021)",3,4334,"210 - Pirmasens (Bundestag 2017 - 2021)",6.1,NA,"list",49.1996961,7.6087847
