"poll.id","Title","Result","Ausschuss1","Ausschuss2","Ausschuss3","Label1","Label2","Label3"
5319,"Änderung des Erneuerbare-Energien-Gesetzes",TRUE,"Ausschuss für Klimaschutz und Energie",NA,NA,"Energie","Umwelt",NA
5324,"Änderung des Parteiengesetzes",TRUE,"Ausschuss für Inneres und Heimat",NA,NA,"Politisches Leben, Parteien",NA,NA
5315,"Nachtragshaushaltsgesetz 2023",TRUE,"Haushaltsausschuss",NA,NA,"Öffentliche Finanzen, Steuern und Abgaben",NA,NA
5323,"Artikel 115 II GG - Aussetzen der Schuldenbremse für 2023",TRUE,"Haushaltsausschuss",NA,NA,"Öffentliche Finanzen, Steuern und Abgaben",NA,NA
5302,"Erweiterter Tätigkeitsbereich der Europäischen Bank für Wiederaufbau und Entwicklung",TRUE,"Finanzausschuss",NA,NA,"Europapolitik und Europäische Union","Öffentliche Finanzen, Steuern und Abgaben","Wirtschaft"
5289,"Kein Stopp der EU-Gebäuderichtlinie (Beschlussempfehlung)",TRUE,"Ausschuss für Wohnen, Stadtentwicklung, Bauwesen und Kommunen",NA,NA,"Raumordnung, Bau- und Wohnungswesen","Umwelt",NA
5295,"Keine Streichung von Erbschaftssteuervergünstigungen (Beschlussempfehlung)",TRUE,"Finanzausschuss",NA,NA,"Öffentliche Finanzen, Steuern und Abgaben",NA,NA
5252,"Videokonferenzen in der Zivil- und Fachgerichtsbarkeit",TRUE,"Rechtsausschuss",NA,NA,"Medien, Kommunikation und Informationstechnik","Recht",NA
5263,"Reform des Nachrichtendienstrechts",TRUE,"Ausschuss für Inneres und Heimat",NA,NA,"Außenpolitik und internationale Beziehungen","Medien, Kommunikation und Informationstechnik","Recht"
5251,"Moldau und Georgien als sichere Herkunftsstaaten (Entschließungsantrag)",FALSE,"Ausschuss für Inneres und Heimat",NA,NA,"Migration und Aufenthaltsrecht",NA,NA
5243,"Änderung des Atomgesetzes",FALSE,"Ausschuss für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",NA,NA,"Energie","Umwelt","Wissenschaft, Forschung und Technologie"
5242,"Stiftungsfinanzierungsgesetz",TRUE,"Ausschuss für Inneres und Heimat",NA,NA,"Öffentliche Finanzen, Steuern und Abgaben","Politisches Leben, Parteien",NA
