"id","label.x","abgeordnetenwatch_url","first_name","last_name","sex","year_of_birth","party.id","party.label","education","residence","occupation","statistic_questions","statistic_questions_answered","field_title","party_past","birth_name","id.mandat","parliament_period_label","politician_abgeordnetenwatch_url","start_date","end_date","info","electoral_data_id","electoral_data_electoral_list.id","electoral_data_electoral_list.label","electoral_data_list_position","electoral_data_constituency.id","electoral_data_constituency.label","electoral_data_constituency_result","electoral_data_constituency_result_count","electoral_data_mandate_won","latitude","longitude"
79253,"Volker Kauder","https://www.abgeordnetenwatch.de/profile/volker-kauder","Volker","Kauder","m",1949,2,"CDU","Studium der Rechtswissenschaften",NA,"MdB",29,NA,NA,NA,NA,39406,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/volker-kauder",NA,NA,NA,39406,56,"Landesliste Baden-Württemberg (Bundestag 2009-2013)",3,284,"285 - Rottweil - Tuttlingen (Bundestag 2009-2013)",48.1,NA,NA,48.1287376,8.71275972349648
79251,"Bernhard Kaster","https://www.abgeordnetenwatch.de/profile/bernhard-kaster","Bernhard","Kaster","m",1957,2,"CDU","Dipl.-Verwaltungswirt (FH)",NA,"Mitglied des Bundestages, Parlamentarischer Geschäftsführer",NA,NA,NA,NA,NA,39402,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/bernhard-kaster",NA,NA,NA,39402,65,"Landesliste Rheinland-Pfalz (Bundestag 2009-2013)",3,1777,"204 - Trier (Bundestag 2009-2013)",45.7,NA,NA,49.7596208,6.6441878
79247,"Katja Keul","https://www.abgeordnetenwatch.de/profile/katja-keul","Katja","Keul","f",1969,5,"Bündnis 90/Die Grünen","Juristin",NA,"MdB",32,32,NA,NA,NA,39396,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/katja-keul",NA,NA,NA,39396,63,"Landesliste Niedersachsen (Bundestag 2009-2013)",5,1703,"41 - Nienburg II - Schaumburg (Bundestag 2009-2013)",7.2,NA,NA,52.43158755,9.23873718467093
79246,"Roderich Kiesewetter","https://www.abgeordnetenwatch.de/profile/roderich-kiesewetter","Roderich","Kiesewetter","m",1963,2,"CDU","Oberst a.D./ Dipl. Kaufmann ","Aalen","MdB",120,101,NA,NA,NA,39394,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/roderich-kiesewetter",NA,NA,NA,39394,56,"Landesliste Baden-Württemberg (Bundestag 2009-2013)",5,1514,"270 - Aalen - Heidenheim (Bundestag 2009-2013)",45,NA,NA,48.8362705,10.0931765
79243,"Katja Kipping","https://www.abgeordnetenwatch.de/profile/katja-kipping","Katja","Kipping","f",1978,8,"DIE LINKE","Magisterstudium Slawistik, Amerikanistik, Rechtswissenschaft",NA,NA,13,12,NA,NA,NA,39390,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/katja-kipping",NA,NA,NA,39390,67,"Landesliste Sachsen (Bundestag 2009-2013)",1,1574,"160 - Dresden I (Bundestag 2009-2013)",24,NA,NA,51.02580045,13.7706396232774
79241,"Lars Klingbeil","https://www.abgeordnetenwatch.de/profile/lars-klingbeil","Lars","Klingbeil","m",1978,1,"SPD","Studium der Politischen Wissenschaft, der Soziologie und der Geschichte (M.A.)",NA,"MdB, Generalsekretär",128,30,NA,NA,NA,39386,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/lars-klingbeil",NA,NA,NA,39386,63,"Landesliste Niedersachsen (Bundestag 2009-2013)",7,1743,"36 - Rotenburg I - Soltau - Fallingbostel (Bundestag 2009-2013)",35.3,NA,NA,NA,NA
79240,"Maria Klein-Schmeink","https://www.abgeordnetenwatch.de/profile/maria-klein-schmeink","Maria","Klein-Schmeink","f",1958,5,"Bündnis 90/Die Grünen","Soziologin",NA,"MdB",24,23,NA,NA,NA,39384,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/maria-klein-schmeink",NA,NA,NA,39384,64,"Landesliste Nordrhein-Westfalen (Bundestag 2009-2013)",11,1696,"130 - Münster (Bundestag 2009-2013)",12.8,NA,NA,51.9625101,7.6251879
79239,"Axel Knoerig","https://www.abgeordnetenwatch.de/profile/axel-knoerig","Axel","Knoerig","m",1967,2,"CDU","Magister in Politikwissenschaft mit Schwerpunkt Kommunal- und Verwaltungswissenschaften","Kirchdorf","MdB",11,11,NA,NA,NA,39382,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/axel-knoerig",NA,NA,NA,39382,63,"Landesliste Niedersachsen (Bundestag 2009-2013)",26,1570,"34 - Diepholz - Nienburg I (Bundestag 2009-2013)",37.5,NA,NA,52.5966234,8.8355037
79235,"Daniela Kolbe","https://www.abgeordnetenwatch.de/profile/daniela-kolbe","Daniela","Kolbe","f",1980,1,"SPD","Physikerin",NA,"MdB",30,30,NA,NA,NA,39377,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/daniela-kolbe",NA,NA,NA,39377,67,"Landesliste Sachsen (Bundestag 2009-2013)",4,276,"153 - Leipzig I (Bundestag 2009-2013)",19.4,NA,NA,51.3430218,12.3811345
79234,"Bärbel Kofler","https://www.abgeordnetenwatch.de/profile/baerbel-kofler","Bärbel","Kofler","f",1967,1,"SPD","Sprachwissenschaftlerin, Dipl. Informatikerin (FH), Bankkauffrau",NA,"MdB",37,37,"Dr.",NA,NA,39375,"Bundestag 2009 - 2013","https://www.abgeordnetenwatch.de/profile/baerbel-kofler",NA,NA,NA,39375,57,"Landesliste Bayern (Bundestag 2009-2013)",16,1776,"225 - Traunstein (Bundestag 2009-2013)",15.2,NA,NA,47.8701474,12.6423403
