"poll.id","Title","Result","Ausschuss1","Ausschuss2","Ausschuss3","Label1","Label2","Label3"
1056,"Abschaffung der sachgrundlosen Befristung von Arbeitsverträgen",FALSE,"Ausschuss für Arbeit und Soziales",NA,NA,"Arbeit und Beschäftigung","Recht","Soziale Sicherung"
1055,"Entfall der Optionspflicht im Staatsangehörigkeitsgesetz",TRUE,NA,NA,NA,"Migration und Aufenthaltsrecht","Gesellschaftspolitik, soziale Gruppen","Recht"
1053,"Verlängerung der Bundeswehrbeteiligung an UN-Mission in Mali (Unterstützungsmission) (2014)",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen",NA,NA
1052,"Flächendeckender Mindestlohn von 8,50 Euro",TRUE,NA,NA,NA,"Arbeit und Beschäftigung","Soziale Sicherung",NA
1051,"Fortsetzung des Libanon-Einsatzes (UNFIL) (2014)",TRUE,NA,NA,NA,"Verteidigung",NA,NA
1046,"Rentenpaket",TRUE,NA,NA,NA,"Senioren",NA,NA
1045,"Kündigung der Atom-Abkommen mit Indien und Brasilien",FALSE,NA,NA,NA,"Energie","Verbraucherschutz",NA
1042,"Mindestlohn in der Fleischwirtschaft",TRUE,NA,NA,NA,"Arbeit und Beschäftigung","Wirtschaft",NA
1040,"Beteiligung der Bundeswehr bei Vernichtung syrischer Chemiewaffen",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen","Verteidigung",NA
1039,"Beteiligung der Bundeswehr an EUFOR-Einsatz Zentralafrika",TRUE,NA,NA,NA,"Verteidigung",NA,NA
1014,"Diätenerhöhung 2014",TRUE,NA,NA,NA,"Bundestag",NA,NA
1013,"Gesetz zur Strafbarkeit von Abgeordnetenbestechung",TRUE,NA,NA,NA,"Bundestag","Politisches Leben, Parteien","Recht"
1012,"Verlängerung des Bundeswehreinsatzes in Mali (2014)",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen",NA,NA
1009,"Anbau von Genmais in der EU verhindern",FALSE,NA,NA,NA,"Landwirtschaft und Ernährung","Umwelt",NA
1008,"Verlängerung des Anti-Terror-Einsatzes im Mittelmeer (OAE) (2013)",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen",NA,NA
1007,"Fortsetzung des Patriot-Einsatzes in der Türkei (2013)",TRUE,NA,NA,NA,"Verteidigung",NA,NA
1004,"Verlängerung des Bundeswehreinsatzes in Südsudan (UNMISS) (2013)",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen","Entwicklungspolitik",NA
953,"Deutsche Beteiligung an Ausbildungsmission in Somalia",TRUE,NA,NA,NA,"Verteidigung",NA,NA
865,"Stärkung der Unabhängigkeit der Datenschutzaufsicht",TRUE,NA,NA,NA,"Europapolitik und Europäische Union","Medien, Kommunikation und Informationstechnik","Recht"
