"poll.id","Title","Result","Ausschuss1","Ausschuss2","Ausschuss3","Label1","Label2","Label3"
807,"Verlängerung des Darfur-Einsatzes (UNAMID)",TRUE,NA,NA,NA,"Entwicklungspolitik",NA,NA
806,"Verlängerung des Libanon-Einsatzes (UNFIL)",TRUE,NA,NA,NA,"Entwicklungspolitik",NA,NA
805,"Reform der Jobcenter",TRUE,NA,NA,NA,"Recht","Staat und Verwaltung",NA
803,"Austritt aus der Kernfusion (ITER)",FALSE,NA,NA,NA,"Energie","Verbraucherschutz","Reaktorsicherheit"
794,"Verlängerung Kosovo-Einsatz (KFOR)",TRUE,NA,NA,NA,"Entwicklungspolitik",NA,NA
787,"Euro-Rettungsschirm",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen","Europapolitik und Europäische Union","Finanzen"
777,"Schnellere Absenkung der Einspeisevergütung im EEG",TRUE,NA,NA,NA,"Energie","Umwelt",NA
776,"Notkredit für Griechenland",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen","Europapolitik und Europäische Union","Finanzen"
766,"Verlängerung Afghanistaneinsatz (ISAF)",TRUE,NA,NA,NA,"Entwicklungspolitik",NA,NA
761,"Verzicht auf Mehrwertsteuersenkung für das Hotelgewerbe",FALSE,NA,NA,NA,"Öffentliche Finanzen, Steuern und Abgaben","Wirtschaft",NA
760,"Bundeswehreinsatz in Bosnien Herzegowina",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen",NA,NA
759,"Kampf gegen Piraten (ATALANTA)",TRUE,NA,NA,NA,"Außenpolitik und internationale Beziehungen",NA,NA
735,"Schwarzarbeiterbekämpfungsgesetz",TRUE,NA,NA,NA,"Arbeit und Beschäftigung","Recht","Wirtschaft"
734,"Verlängerung Libanon-Einsatz (UNFIL)",TRUE,NA,NA,NA,"Entwicklungspolitik",NA,NA
733,"Verlängerung des Anti-Terror-Kampfes (OEF)",TRUE,NA,NA,NA,"Verteidigung",NA,NA
732,"Wachstumsbeschleunigungsgesetz",TRUE,NA,NA,NA,"Gesellschaftspolitik, soziale Gruppen","Öffentliche Finanzen, Steuern und Abgaben",NA
731,"Verlängerung Afghanistaneinsatz (ISAF)",TRUE,NA,NA,NA,"Entwicklungspolitik",NA,NA
712,"Verlängerung Afghanistaneinsatz (ISAF)",TRUE,NA,NA,NA,"Entwicklungspolitik",NA,NA
